question_clean	options_formatted	correct_letter
Choose the correct statement regarding the most important indicator of effective ventilation and response to resuscitative interventions in the newborn	A. A rise in Heart rate | B. An improvement in colour | C. An improvement in the oxygen saturation | D. Chest expansion | E. An improvement in muscle tone	A
Choose the only recommended drug among this list for neonatal resuscitation	A. Naloxone | B. Calcium gluconate | C. C Sodium Bicarbonate | D. 25% Dextrose | E. normal saline	E
Late deceleration during labour	A. a) Umbilical cord compression is the cause | B. Atosiban should not be given | C. The duration from the onset of the deceleration to the nadir is > 30 seconds | D. Oxytocin should be given | E. Deliver within 30 minutes by Caesarean section	C
The following features of a normal or reactive antepartum CTG includes all the following except;	A. a) At least two fetal movements within 20 minute | B. At least 2 accelerations of more than 15 beats per minute over the baseline rate and lasting at least 15 seconds within 20 minutes | C. Normal baseline variability of 6-25 beats per minute | D. Normal baseline rate of 110-160 beats per minute | E. No late or variable decelerations	A
Which of the following is the commonest presentation of gestational trophoblastic neoplasia?	A. A Seizures | B. hemoptysis | C. uterine bleeding | D. hemoperitoneum | E. none of the above	C
Gestational trophoblastic neoplasts may develop after which of the following?	A. Evacuation of a molar pregnancy | B. B Delivery of a normal term pregnancy | C. C Abortion | D. D Ectopic pregnancy | E. E All of the above	E
Which of the following is the most common site of choriocarcinoma metastasis?	A. lungs | B. brain | C. spleen | D. breast | E. vagina	A
Which of the following is NOT true about twin pregnancy?	A. Pregnancy outcome is determined by the chorionicity. | B. Early complications of monochorionic twins are caused by vascular anastomoses in thep lacenta | C. Selective fetal growth restriction complicates 10% of monochorionic twins. | D. Anaemia-polycythemia sequence is an early complication of monochorionic twins. | E. Discordant fetal weight of over 25% is an independent predictor of poor pregnancy outcome in dichorionic twins.	D
Which of the following is/are true about timing of delivery in twins?	A. Maturity of singleton pregnancy at 40 weeks equates to that of twins at 38 weeks. | B. Uncomplicated dichorionic twins should be delivered by 37 weeks. | C. Monochorionic twins carry higher stillbirth rates than dichorionic twins. | D. Uncomplicated monochorionic twins should be delivered at 34 weeks | E. Frequent antenatal fetal monitoring is unnecessary in monochorionic twins.	C
Which of the following is/are true about twin pregnancies with symptoms of preterm birth?	A. Most women will deliver within a week. | B. Insufficient data are available to make evidence-based recommendations. | C. The accuracy of cervical length measurement is higher than for asymptomatic women | D. The accuracy of cervical length measurement is higher than for asymptomatic women | E. Fetal fibronectin has high negative predictive value	E
All of the following statements are true about multiple pregnancies after assisted reproductive technology (ART) treatment EXCEPT	A. Women carrying multiple pregnancies have a higher risk of complications than those who are pregnant with singletons | B. Neonatal mortality is increased in multiple births | C. Prematurity is the main cause of neonatal morbidity in twins. | D. Three-quarters of triplets require neonatal admission. | E. The mean gestational age for twin and high-order pregnancies is the same.	E
A marked reduction occurs in multiple pregnancies after double embryo transfer (DET) compared with triple embryo transfer.	A. A marked reduction occurs in multiple pregnancies after double embryo transfer (DET) compared with triple embryo transfer. | B. Pregnancy rates per fresh in-vitro fertilisation cycle after elective single-embryo transfer are lower compared with DET. | C. Pregnancy rates per fresh in-vitro fertilisation cycle after elective single-embryo transfer are lower compared with DET. | D. Multiple pregnancy rates are similar after single-embryo transfer and DET. | E. An effective cryopreservation programme is essential for widespread use of single-embryo transfer	D
"Which of the following is/are true about serial ultrasound scanning in twin and triplet pregnancy?  I)	In screening for TTTS in monochorionic twins, it is recommended that scans are carried out  more often if membrane folding or liquor discordance occurs  II)	 In screening for fetal growth problems, scans should be carried out every 2 weeks from 20 weeks gestation.  III)	 No evidence supports screening for fetal growth problems using umbilical artery Doppler blood flow routinely."	A. I. II and III | B. . I and III | C. . II and III | D. . II only | E. I only	B
Which ONE of the following best describes a fetal distress in labour?	A. Reduced variability on CTG tracing | B. Recurrent variable deceleration on CTG tracing | C. Bradycardia on CTG tracing | D. Absent variability and recurrent late decelerations on CTG tracing | E. Absent accelerations on CTG tracing	D
Fetal distress may result from all of the following EXCEPT	A. Cord prolapse | B. Abruptio placentae | C. Uterine Rupture | D. Maternal hypotension | E. Magnesium sulphate administration	E
Select the CORRECT statement regarding abnormal labour:	A. A primary arrest is when labour does not progress past the latent phase over 8 hours | B. A primary arrest is when labour does not progress past the latent phase over 8 hours | C. Primary arrest is commonly due to fetal malposition | D. Secondary arrest is typically from uterine dysfunction | E. In secondary arrest, it is impossible for the baby to be born vaginally	A
Which of the following is not useful in the treatment or prevention of preeclampsia	A. Hydralazine. | B. Aspirin | C. Labetalol | D. Methyldopa | E. Magnesium Sulphate	E
Placental abruption occurs in;	A. Marijuana addiction | B. Teenage pregnancies | C. Maternal obesity | D. Preeclampsia | E. All of the above	D
The following are true about the management of pre-eclampsia.	A. Oral antihypertensive are indicated to all mild pre-eclamptic patients. | B. Patient with severe pre-eclampsia should be induced as soon as hypertension has been controlled | C. Patient with severe pre-eclampsia should be induced as soon as hypertension has been controlled | D. Patient with severe pre-eclampsia should be induced as soon as hypertension has been controlled | E. None of the above	E
. Hydralazine use in pre-eclampsia	A. The hypotensive response to intravenous hydralazine is as predictable as with labetalol | B. Oral hydralazine is very useful | C. Cannot be used in acute hypertension once labetalol is ineffective | D. All of the above | E. None of the above	E
You have just examined a 28-year-old primigravida in spontaneous labour. Examination findings are 0/5 palpable per abdomen, cervix is 7 cm dilated, cephalic presentation,-1 station, anterior fontanelle palpable with orbital ridges and nasal bridge felt anteriorly. What is the presenting diameter of the fetus?	A. Mentovertical | B. Occipitofrontal | C. Suboccipitobregmatic | D. Suboccipitobregmatic | E. Suboccipitofrontal	A
Which of the following is correct about premalignant lesions of the cervix?	A. They are intraepithelial lesions of the cervix | B. They are intraepithelial lesions of the cervix | C. They are intraepithelial lesions of the cervix | D. They are intraepithelial lesions of the cervix | E. They are intraepithelial lesions of the cervix	D
Where can the transformation zone of the cervix be found?	A. In the vagina | B. On the uterus | C. In the fallopian tubes | D. . In the cervical canal | E. Between the original and new squamocolumnar junction	E
PAP smears cannot be done when	A. the woman is pregnant | B. the woman is bleeding pv. | C. the woman has iucd in situ | D. the woman is bleeding pv. | E. the woman has normal vaginal discharge	D
. What classification is used in reporting pap smear report?	A. Bethesda classification | B. cervical dysplasia | C. cervical dysplasia | D. squamous dysplasia | E. CIN 3	A
Screening for cervical cancer	A. . Is best performed during menstrual bleeding | B. Should not be performed during pregnancy | C. Is performed in the presence of an ulcer on the cervix | D. Always requires treatment if screen positive | E. Always requires treatment if screen positive	D
